run_index,architecture,load_multiplier,agent,is_critical,spawn_time,waiting_entry_time,wing_entry_time,triage_start_estimate,treatment_complete_time,home_time,service_seconds,time_to_triage_seconds,total_seconds
0,FsmReactiveController,2.0,Patient (5) Spawned 1[Untagged],False,1.666,13.744,22.537,32.54600000000002,157.866,225.912,125.32,30.88000000000002,224.246
0,FsmReactiveController,2.0,Patient (5) Spawned 2 Critical[critical],True,5.004,17.22,25.829,35.97399999999999,226.684,242.782,190.71,30.96999999999999,237.77800000000002
0,FsmReactiveController,2.0,Patient (5) Spawned 3 Critical[critical],True,6.667,19.326,28.183,40.836,161.386,226.392,120.55,34.169,219.725
0,FsmReactiveController,2.0,Patient (5) Spawned 4[Untagged],False,18.351,30.745,39.745,61.39500000000001,199.435,223.626,138.04,43.04400000000001,205.275
0,FsmReactiveController,2.0,Patient (5) Spawned 5 Critical[critical],True,55.008,67.542,76.867,87.04699999999997,348.227,356.617,261.18,32.038999999999966,301.60900000000004
0,FsmReactiveController,2.0,Patient (5) Spawned 6 Critical[critical],True,70.003,82.285,90.909,99.48999999999998,250.14,257.27,150.65,29.48699999999998,187.267
0,FsmReactiveController,2.0,Patient (5) Spawned 7 Critical[critical],True,96.66,109.136,118.114,128.83800000000002,409.978,416.873,281.14,32.178000000000026,320.21299999999997
0,FsmReactiveController,2.0,Patient (5) Spawned 8[Untagged],False,96.761,109.404,118.844,129.778,373.068,392.521,243.29,33.016999999999996,295.76
0,FsmReactiveController,2.0,Patient (5) Spawned 9 Critical[critical],True,106.665,118.817,127.852,139.198,283.468,294.291,144.27,32.533,187.62599999999998
0,FsmReactiveController,2.0,Patient (5) Spawned 10[Untagged],False,133.353,146.026,155.222,163.899,376.329,384.044,212.43,30.545999999999992,250.69099999999997
0,FsmReactiveController,2.0,Patient (5) Spawned 11[Untagged],False,141.67,154.338,163.468,178.13400000000001,453.894,502.647,275.76,36.46400000000003,360.977
0,FsmReactiveController,2.0,Patient (5) Spawned 12 Critical[critical],True,161.663,174.138,183.319,197.64999999999998,473.59,505.664,275.94,35.986999999999966,344.001
0,FsmReactiveController,2.0,Patient (5) Spawned 13 Critical[critical],True,176.663,189.187,198.238,211.231,434.841,450.633,223.61,34.567999999999984,273.96999999999997
0,FsmReactiveController,2.0,Patient (5) Spawned 14[Untagged],False,190.006,207.73,226.411,239.061,481.231,507.489,242.17,49.05500000000001,317.48299999999995
0,FsmReactiveController,2.0,Patient (5) Spawned 15[Untagged],False,191.673,204.313,213.305,234.538,524.058,561.19,289.52,42.86500000000001,369.51700000000005
0,FsmReactiveController,2.0,Patient (5) Spawned 16[Untagged],False,193.347,205.87,214.553,239.539,400.149,420.643,160.61,46.19199999999998,227.29599999999996
0,FsmReactiveController,2.0,Patient (5) Spawned 17[Untagged],False,206.673,219.157,234.883,257.677,444.317,453.093,186.64,51.00400000000002,246.42000000000002
0,FsmReactiveController,2.0,Patient (5) Spawned 18[Untagged],False,208.34,220.879,234.613,253.74200000000002,405.692,416.471,151.95,45.402000000000015,208.131
0,FsmReactiveController,2.0,Patient (5) Spawned 19[Untagged],False,220.009,232.481,242.94,258.677,503.517,512.041,244.84,38.668000000000035,292.03200000000004
0,FsmReactiveController,2.0,Patient (5) Spawned 20[Untagged],False,231.665,244.163,257.286,266.438,401.348,413.453,134.91,34.772999999999996,181.78799999999998
0,FsmReactiveController,2.0,Patient (5) Spawned 21[Untagged],False,240.0,252.537,265.531,280.25,507.11,556.381,226.86,40.25,316.381
0,FsmReactiveController,2.0,Patient (5) Spawned 22[Untagged],False,288.353,300.973,309.923,320.093,450.663,498.444,130.57,31.74000000000001,210.091
0,FsmReactiveController,2.0,Patient (5) Spawned 23[Untagged],False,298.345,311.035,319.011,329.627,555.057,562.879,225.43,31.281999999999982,264.534
0,FsmReactiveController,2.0,Patient (5) Spawned 24[Untagged],False,313.345,325.742,334.009,345.976,504.036,516.636,158.06,32.63099999999997,203.29099999999994
0,FsmReactiveController,2.0,Patient (5) Spawned 25[Untagged],False,315.004,327.705,337.119,353.351,492.241,504.036,138.89,38.34699999999998,189.03199999999998
0,FsmReactiveController,2.0,Patient (5) Spawned 26[Untagged],False,315.116,327.951,337.032,363.87399999999997,553.554,566.267,189.68,48.75799999999998,251.15100000000007
0,FsmReactiveController,2.0,Patient (5) Spawned 27[Untagged],False,318.348,331.004,340.199,355.2289999999999,624.949,664.829,269.72,36.880999999999915,346.48099999999994
0,FsmReactiveController,2.0,Patient (5) Spawned 28[Untagged],False,330.009,342.502,356.632,367.276,629.616,663.498,262.34,37.266999999999996,333.48900000000003
0,FsmReactiveController,2.0,Patient (5) Spawned 29 Critical[critical],True,375.007,387.391,420.66,440.721,636.441,666.98,195.72,65.714,291.973
0,FsmReactiveController,2.0,Patient (5) Spawned 30[Untagged],False,383.346,396.012,420.66,431.96599999999995,723.646,772.38,291.68,48.61999999999995,389.034
0,FsmReactiveController,2.0,Patient (5) Spawned 31[Untagged],False,421.666,434.305,464.882,474.49,615.39,622.14,140.9,52.82400000000001,200.474
0,FsmReactiveController,2.0,Patient (5) Spawned 32[Untagged],False,426.662,439.194,473.466,483.933,646.703,665.757,162.77,57.271000000000015,239.09499999999997
0,FsmReactiveController,2.0,Patient (5) Spawned 33[Untagged],False,438.352,450.953,473.49,480.02299999999997,763.593,770.758,283.57,41.67099999999999,332.40600000000006
0,FsmReactiveController,2.0,Patient (5) Spawned 34[Untagged],False,451.671,464.492,473.559,489.856,686.456,766.439,196.6,38.185,314.768
0,FsmReactiveController,2.0,Patient (5) Spawned 35[Untagged],False,475.002,487.237,525.012,541.638,686.878,773.23,145.24,66.63600000000002,298.228
0,FsmReactiveController,2.0,Patient (5) Spawned 36[Untagged],False,480.014,492.352,525.012,540.961,699.961,771.305,159.0,60.947,291.29099999999994
0,FsmReactiveController,2.0,Patient (5) Spawned 37[Untagged],False,495.013,507.622,533.563,549.846,772.546,790.108,222.7,54.83300000000003,295.09499999999997
0,FsmReactiveController,2.0,Patient (5) Spawned 38 Critical[critical],True,500.007,512.233,532.617,543.373,801.453,875.132,258.08,43.36600000000004,375.12499999999994
0,FsmReactiveController,2.0,Patient (5) Spawned 39[Untagged],False,506.666,519.331,532.998,547.955,705.715,768.139,157.76,41.289000000000044,261.473
0,FsmReactiveController,2.0,Patient (5) Spawned 40[Untagged],False,523.343,535.917,544.531,558.491,722.231,769.341,163.74,35.148000000000025,245.99800000000005
0,FsmReactiveController,2.0,Patient (5) Spawned 41[Untagged],False,563.353,575.949,584.99,598.012,749.242,769.104,151.23,34.65899999999999,205.7510000000001
0,FsmReactiveController,2.0,Patient (5) Spawned 42 Critical[critical],True,633.347,645.939,654.897,676.771,891.361,900.175,214.59,43.42399999999998,266.828
0,FsmReactiveController,2.0,Patient (5) Spawned 43[Untagged],False,693.348,705.932,714.637,725.374,971.244,981.554,245.87,32.02600000000007,288.206
0,FsmReactiveController,2.0,Patient (5) Spawned 44[Untagged],False,700.002,712.341,720.54,730.809,877.629,891.046,146.82,30.807000000000016,191.0440000000001
0,FsmReactiveController,2.0,Patient (5) Spawned 45[Untagged],False,703.346,715.849,724.82,738.181,876.221,894.683,138.04,34.835000000000036,191.337
0,FsmReactiveController,2.0,Patient (5) Spawned 46[Untagged],False,738.34,751.01,760.203,800.7349999999999,942.175,952.244,141.44,62.39499999999987,213.904
0,FsmReactiveController,2.0,Patient (5) Spawned 47[Untagged],False,755.013,767.778,798.419,813.366,1107.896,1159.499,294.53,58.35299999999995,404.486
0,FsmReactiveController,2.0,Patient (5) Spawned 48 Critical[critical],True,776.664,789.24,798.557,811.4559999999999,1053.136,1060.181,241.68,34.791999999999916,283.51700000000005
0,FsmReactiveController,2.0,Patient (5) Spawned 49[Untagged],False,778.349,790.6,799.441,812.801,1026.901,1038.723,214.1,34.452,260.3739999999999
0,FsmReactiveController,2.0,Patient (5) Spawned 50[Untagged],False,781.669,794.179,802.826,815.299,1077.969,1085.875,262.67,33.629999999999995,304.206
0,FsmReactiveController,2.0,Patient (5) Spawned 51[Untagged],False,791.672,804.23,813.078,826.7959999999999,956.156,965.175,129.36,35.12399999999991,173.50299999999993
0,FsmReactiveController,2.0,Patient (5) Spawned 52 Critical[critical],True,806.661,819.284,827.403,839.173,1091.913,1103.915,252.74,32.51200000000006,297.254
0,FsmReactiveController,2.0,Patient (5) Spawned 53[Untagged],False,828.352,840.789,848.625,864.0269999999998,1120.687,1158.183,256.66,35.67499999999984,329.831
0,FsmReactiveController,2.0,Patient (5) Spawned 54[Untagged],False,835.005,847.533,856.735,863.661,1064.521,1071.471,200.86,28.65599999999995,236.466
0,FsmReactiveController,2.0,Patient (5) Spawned 55[Untagged],False,843.347,855.825,864.673,887.009,1147.799,1164.274,260.79,43.662000000000035,320.9269999999999
0,FsmReactiveController,2.0,Patient (5) Spawned 56[Untagged],False,855.007,867.349,882.87,911.1310000000001,1061.601,1072.25,150.47,56.12400000000014,217.24300000000005
0,FsmReactiveController,2.0,Patient (5) Spawned 57[Untagged],False,875.009,887.094,908.051,921.847,1060.287,1071.825,138.44,46.837999999999965,196.81600000000003
0,FsmReactiveController,2.0,Patient (5) Spawned 58[Untagged],False,876.664,889.29,908.211,919.899,1078.289,1087.245,158.39,43.235000000000014,210.5809999999999
0,FsmReactiveController,2.0,Patient (5) Spawned 59[Untagged],False,895.01,907.387,916.468,927.628,1067.498,1075.926,139.87,32.61800000000005,180.91599999999994
