"Arrival multiplier","Controller","Completed patients","Completion time (min)","Throughput (patients/hour)","Mean total time (min)","P95 total time (min)","World-state changes","Max queue"
"2.00","FSM","300","55.95","321.7","9.10","17.00","2572","83"
"2.00","Priority dispatcher","300","55.38","325.0","9.04","16.35","2612","84"
"2.00","Decision table","300","55.60","323.8","9.19","16.94","2594","84"
"2.00","Proposed GOAP","300","61.26","293.8","10.76","20.57","3988","103"
"1.50","FSM","300","53.23","338.1","11.85","22.53","2632","122"
"1.50","Priority dispatcher","300","53.95","333.6","12.41","23.31","2708","124"
"1.50","Decision table","300","52.67","341.7","11.74","22.18","2532","120"
"1.50","Proposed GOAP","300","57.52","312.9","13.03","25.92","3922","131"
"1.25","FSM","300","51.83","347.3","13.55","25.60","2516","140"
"1.25","Priority dispatcher","300","51.16","351.9","13.70","25.62","2530","141"
"1.25","Decision table","300","52.03","345.9","14.02","26.37","2590","139"
"1.25","Proposed GOAP","300","54.50","330.3","14.50","27.63","3890","155"
"1.00","FSM","300","53.18","338.5","16.88","31.16","2528","163"
"1.00","Priority dispatcher","300","50.83","354.1","15.82","29.33","2488","158"
"1.00","Decision table","300","51.75","347.9","16.24","30.27","2594","160"
"1.00","Proposed GOAP","300","50.81","354.2","15.25","28.84","3252","165"
