"Arrival multiplier","Controller","Mean time to assessment (min)","P95 time to assessment (min)","Critical mean (min)","Critical P95 (min)","Normal mean (min)","Normal P95 (min)",">15 min all (%)",">15 min critical (%)","Contact >5 min (%)"
"2.00","FSM","5.20","12.67","0.97","1.67","6.42","12.80","0.00","0.00","0.00"
"2.00","Priority dispatcher","5.12","12.26","1.14","2.25","6.27","12.34","0.00","0.00","0.00"
"2.00","Decision table","5.27","12.72","1.06","2.07","6.48","12.82","0.00","0.00","0.00"
"2.00","Proposed GOAP","6.84","16.73","1.32","2.72","8.42","17.00","15.67","0.00","0.00"
"1.50","FSM","7.87","18.66","1.18","2.25","9.79","18.77","26.33","0.00","0.00"
"1.50","Priority dispatcher","8.40","19.20","1.33","2.59","10.43","19.38","29.67","0.00","0.00"
"1.50","Decision table","7.74","18.32","1.14","1.85","9.64","18.42","25.33","0.00","0.00"
"1.50","Proposed GOAP","9.14","21.75","1.43","2.85","11.36","22.05","32.00","0.00","0.00"
"1.25","FSM","9.43","21.47","1.32","2.94","11.76","22.34","34.67","0.00","0.00"
"1.25","Priority dispatcher","9.50","21.63","1.37","3.04","11.84","21.78","35.67","0.00","0.00"
"1.25","Decision table","9.79","22.65","1.40","2.57","12.20","22.82","36.00","0.00","0.00"
"1.25","Proposed GOAP","10.55","23.54","1.44","2.89","13.17","23.98","37.67","0.00","0.00"
"1.00","FSM","12.40","27.70","1.80","4.64","15.45","27.97","46.33","0.00","0.00"
"1.00","Priority dispatcher","11.43","25.64","1.55","3.24","14.27","25.82","42.33","0.00","0.00"
"1.00","Decision table","11.95","26.45","1.72","3.25","14.89","26.69","43.33","0.00","0.00"
"1.00","Proposed GOAP","11.34","25.28","1.35","2.61","14.21","25.39","40.00","0.00","0.00"
